bigram_Words,count
financial institution,682
economic forum,536
financial service,440
world economic,380
digital identity,322
identity system,300
uncertainty statesintroduction,294
statesintroduction conclusion,286
smart contract,270
real time,258
finding uncertainty,194
retrieved http,188
case study,168
investment management,166
key uncertainty,152
current state,144
equity crowdfunding,126
business model,126
individual investor,124
payment scheme,120
third party,118
service provider,116
buyer seller,112
distributed ledger,112
wealth manager,110
critical condition,108
alternative lending,108
capital raising,108
future state,100
traditional institution,98
credit card,94
key finding,92
product service,90
venture capital,90
risk associated,90
proxy statement,90
financial product,88
alternative funding,88
investment opportunity,88
coco bond,88
market infrastructure,86
implication scenario,86
wealth management,84
large tech,84
post trade,84
subject matter,82
payment solution,82
funding platform,82
matter expert,80
legal entity,80
project team,78
digital banking,78
dfindings uncertainty,78
customer experience,76
bank account,76
money transfer,76
low cost,76
opportunity risk,76
state process,76
market participant,74
traditional intermediary,72
lending platform,72
insurance product,70
deposit lending,70
investor investor,70
alternative payment,68
marketplace lender,68
capital market,64
market provisioning,64
narrative summary,64
summary impact,64
supporting evidence,62
traditional payment,62
high risk,62
data source,62
associated scenario,62
future financial,60
mobile payment,60
quantitative evidence,60
pain point,60
net worth,60
high net,60
condition scenario,60
scenario implication,60
incumbent ecosystem,60
lead arranger,60
trading strategy,58
market share,56
risk profile,56
correspondent bank,56
identity transaction,54
connected device,54
mass affluent,54
scenario customer,54
customer incumbent,54
trade finance,54
tech firm,52
customer base,52
global payment,52
user attribute,52
smarter faster,52
process externalisation,52
deep dive,50
life insurance,50
crowdfunding platform,50
ledger technology,50
faster machine,50
syndicated loan,50
financial system,48
customer relationship,48
asset class,48
alternative platform,48
capital ratio,48
innovation financial,46
implication regulator,46
robo advisor,46
condition early,46
early sign,46
traditional wealth,46
low risk,46
deloitte canada,46
key implication,46
transfer operator,46
identity solution,44
disruptive innovation,44
lower cost,44
implication incumbent,44
shifting customer,44
payment network,44
digital channel,44
traditional financial,44
emerging market,44
state paint,44
retail bank,44
seed stage,44
